branch,branch_category
Aeronautics,Mechanical
Agricultural Engineering,Civil
Arts,Arts & Others
Biotechnology,Science & Mathematics
Business & Analytics,Business & Management
Chemical,Chemical & Materials
Chemistry,Science & Mathematics
Civil,Civil
Commerce,Business & Management
Computer Applications,CS & IT
Computer Engineering,Other
Computer Science,CS & IT
Data Science & AI,CS & IT
Economics,Business & Management
Education,Arts & Others
Electrical & Electronics,Electrical
"Electrical, Electronics & Communication",Electronics & Communication
Electronics & Communication,Electronics & Communication
Electronics & Telecommunication,Electronics & Communication
Energy,Electrical
Finance,Business & Management
Geology,Science & Mathematics
Higher secondary,Arts & Others
Human Resources,Business & Management
Humanities,Arts & Others
Industrial Engineering,Mechanical
Information Technology,CS & IT
Instrumentation,Electronics & Communication
Management,Business & Management
Marketing,Business & Management
Mass Communication,Arts & Others
Mathematics,Science & Mathematics
Mechanical,Mechanical
Mechatronics,Mechanical
Metallurgy,Chemical & Materials
Mining,Civil
Pharmacy,Arts & Others
Physics,Science & Mathematics
