pre_scaler_role,pre_seniority_level
Android Developer,Entry Level
Application Developer,Entry Level
Architect,Lead/Staff
Associate SDE,Entry Level
Backend Developer,Entry Level
Business Analyst,Entry Level
C++ Developer,Entry Level
Cloud Engineer,Entry Level
Co-Founder,Management
Consultant,Entry Level
Data Analyst,Entry Level
Data Engineer,Entry Level
Data Scientist,Entry Level
DevOps Engineer,Entry Level
Developer,Entry Level
Engineering Manager,Management
Freelancer,Entry Level
Fresher,Fresher
Frontend Developer,Entry Level
Full Stack Developer,Entry Level
Implementation Engineer,Entry Level
Intern,Intern/Trainee
Java Developer,Entry Level
Javascript Developer,Entry Level
Junior Data Analyst,Entry Level
Junior Data Scientist,Entry Level
Lead - Technical Operations,Lead/Staff
Lead Computer Scientist - Digital,Senior Level
Lead Data Scientist,Senior Level
Lead ML Engineer,Senior Level
Lead QA Engineer,Senior Level
Lead SDE,Lead/Staff
ML Engineer,Entry Level
MTS,Entry Level
Manager,Management
Mobile Developer,Entry Level
Network Engineer,Entry Level
Non-Tech,Non-Tech
Platform Engineer,Entry Level
Product Analyst,Entry Level
Product Engineer,Entry Level
Product Manager,Management
Professional 1,Entry Level
Programmer Analyst,Entry Level
Project Engineer,Entry Level
Python Developer,Entry Level
QA Engineer,Entry Level
R&D Engineer,Entry Level
SDE 1,Entry Level
SDE 2,Mid Level
SDE 3,Senior Level
SDET,Entry Level
Senior Android Developer,Mid Level
Senior Application Developer,Mid Level
Senior Backend Developer,Mid Level
Senior Consultant,Mid Level
Senior Data Analyst,Mid Level
Senior Data Engineer,Senior Level
Senior Data Scientist,Senior Level
Senior Full Stack Developer,Senior Level
Senior MTS,Senior Level
Senior Manager,Management
Senior Product Engineer,Mid Level
Senior QA Engineer,Mid Level
Senior R&D Engineer,Mid Level
Senior SDE,Senior Level
Senior System Engineer,Mid Level
Senior Technology Analyst,Mid Level
Software Analyst,Entry Level
Software Developer/Senior Analyst,Mid Level
Software Development Engineer (Backend),Entry Level
Software Engineer/Python Developer,Entry Level
Solutions Engineer,Entry Level
Staff SDE,Lead/Staff
Support Engineer,Entry Level
System Engineer,Entry Level
Tech Lead,Lead/Staff
Technical Analyst,Entry Level
Technical Program Manager,Lead/Staff
Technology Analyst,Entry Level
Technology analyst,Entry Level
Trainee,Intern/Trainee
Web Developer,Entry Level
iOS Developer,Entry Level
