role,seniority_level
AVP Lead,Lead/Staff
Android Developer,Entry Level
Application Developer,Entry Level
Architect,Lead/Staff
Assistant Manager,Management
Associate,Entry Level
Associate Data Scientist,Entry Level
Associate SDE,Entry Level
Backend Developer,Entry Level
Backend Developer - SDE 2,Mid Level
Backend Developer - SDE 3,Senior Level
Business Analyst,Entry Level
Business Analyst Intern,Intern/Trainee
Cloud Engineer,Entry Level
Co-founder,Management
Consultant,Entry Level
Data Analyst,Entry Level
Data Engineer,Entry Level
Data Scientist,Entry Level
Delivery Engineer,Entry Level
DevOps Engineer,Entry Level
Developer,Entry Level
Developer - Node Js,Entry Level
Engineering Manager,Management
Frontend Developer,Entry Level
Frontend developer,Entry Level
Full Stack Developer,Entry Level
Full Stack Developer - SDE 2,Mid Level
Full Stack Developer - SDE 3,Senior Level
Implementation Engineer,Entry Level
Intern,Intern/Trainee
Ios Developer,Entry Level
Java Developer,Entry Level
Javascript Developer,Entry Level
Junior Data Analyst,Entry Level
Junior Data Scientist,Entry Level
Lead Data Engineer,Senior Level
Lead Data Scientist,Senior Level
Lead ML Engineer,Senior Level
ML Engineer,Entry Level
MTS,Entry Level
Manager,Management
Platform Engineer,Entry Level
Principal SDE,Management
Product Analyst,Entry Level
Product Engineer,Entry Level
Product Manager,Management
Programmer Analyst,Entry Level
Project Manager,Management
Python Developer,Entry Level
QA Engineer,Entry Level
R&D Engineer,Entry Level
Researcher,Entry Level
SDE 1,Entry Level
SDE 2,Mid Level
SDE 3,Senior Level
SDET,Entry Level
SRE,Entry Level
Senior Application Developer,Senior Level
Senior Backend Developer,Mid Level
Senior Business Analyst,Mid Level
Senior Consultant,Mid Level
Senior Data Analyst,Mid Level
Senior Data Engineer,Senior Level
Senior Data Scientist,Senior Level
Senior DevOps Engineer,Senior Level
Senior Frontend Developer,Mid Level
Senior Full Stack Developer,Senior Level
Senior IOS Developer,Mid Level
Senior Java Developer,Mid Level
Senior ML Engineer,Senior Level
Senior MTS,Senior Level
Senior Manager,Management
Senior QA Engineer,Mid Level
Senior SDE,Senior Level
Senior SDET,Mid Level
Software Developer- Ios,Entry Level
Software Development Engineer (Backend),Entry Level
Software Engineer (Backend ),Entry Level
Solutions Architect,Entry Level
Solutions architect,Lead/Staff
Staff SDE,Lead/Staff
System Engineer,Entry Level
Tech Lead,Lead/Staff
Technical Analyst,Entry Level
Technical Developer,Entry Level
Technical Program Manager,Lead/Staff
Trainee,Intern/Trainee
Web Developer,Entry Level
